on	man
pousser	anfeuern, jagen, treiben, vor sich hertreiben; dringen, rücken, stoßen
le profit	Ertrag, Gewinn, Interesse, Nutzen, Verdienst, Vorteil
la chaîne	Kettenline; Kette
le bac	Kasten, Kiste, Truhe; Fähre; Behälter, Besteck, Krug
la soustraction	Subtraktion
agglutiner	zusammenheften, kleben
cultivé	gebildet, gesittet
à partir de, dès, depuis	von ... ab, seit
liquide	flüssig
l'amante (f)	Liebhaberin
parer	ausweichen, entweichen, vermeiden; aufputzen, schmücken, verzieren
Athènes	Athen, Athene
le compteur	Zähler
le bien, la propriété foncière	Bauernhof, Besitzung, Gut, Landgut
l'adorée (f)	Verehrte
le traître	Verräter
l'amusement (m)	Unterhaltung, Vergnügen; Amüsement; Zerstreuung, Ablenkung; Erholung
l'agent (m)	Agent; Polizist, Schutzmann
-té	-heit, -keit
transformation	Veränderung
fuir	fliehen, flüchten
le faux-col	Kragen
la retraite	Ruhegeld, Altersruhegeld, Rente, Pension
la remarque	Bemerkung; Beobachtung, Vermerk
l'arme (f)	Waffe
le militaire	Militär
souterrain	unterirdisch
saillant, prohéminent, remarquable	hervorragend, hervorstehend
le cycliste	Radfahrer
l'accusatif (m)	Akkusativ
l'araignée (f)	Spinne
la comparaison	Vergleichung; Gleichnis, Vergleich
obéir	folgen, befolgen, gehorchen
apprendre à fond	erlernen
l'opération de caisse (f)	Umsatz
le minimum	Minimum
commetre une faute, pécher	sündigen, sich versündigen
la mort	Tod; Untergang, Verderbnis
anticiper	vorausnehmen, vorwegnehmen
coïncider	zusammenfallen, zusammentreffen; kongruieren
l'aurore (f)	Morgenrot; Tagesanbruch; Morgenröte, Polarlicht, Reiz des Neuen, Zauber
droit	rechter; bieder, loyal; rechtwinklig; aufrecht, direkt, gerad, gradlinig, unmittelbar
la rapidité	Geschwindigkeit, Tempo; Eile, Hast
adolescent	Jugendlicher
hériter	erben, beerben
vain	vergebens, vergeblich; eitel, hinfällig
la composition	Komposition, Tonstück; Konsistenz, Beschaffenheit; Thema
la serrure	Schloss, Verschluss
télécharger	runterladen
joindre	beifügen, zufügen; anpassen; fügen, gesellen, vereinigen; verbinden, verknüpfen
hystérique	hysterisch; Hysterikerin; Hysteriker
risquer	riskieren, wagen
examiner	examinieren, inspizieren, nachsehen, prüfen, untersuchen; forschen, erforschen
satisfaire, contenter	befriedigen, zufriedenstellen
serviable, complaisant	bereitwillig
ferme	fest, feststehend, firm, gediegen, stabil, wiederstandsfähig
blasphémer	lästern
déranger	stören; beengen, behindern, belästigen, genieren, lästig werden
prendre dans les bras	umarmen
la tribu	Stamm
cancaner, jaser	tratschen, klatschen
mobile	beweglich; veränderlich, wetterwendisch
assertion	Behauptung
le tabac	Tabak
s'accoupler	zusammenkommen
vaillant	brav, tapfer, tüchtig, wacker; beherzt, dreist, getrost, mutig
la revanche	Vergütung; Rache
attirer	anziehen; ködern, locken
mystérieux	geheimnisvoll, mysteriös
le capital	Kapital
adjacent	angrenzend, anstoßend; benachbart
le tir	Schuss
le réfrigérateur	Kühlschrank
le primevère	Primel, Schlüsselblume, Aurikel
l'Afrique du Sud (f)	Südafrika
suggérer	suggerieren, vorschlagen, einreden
le manuel	Handbuch, Leitfaden, Kompendium
résoudre	lösen, auflösen; umbilden, umgestalten, umwandern
la cour	Hof, Hofstaat; Gerichtshof
le Talmud	Talmud
le gilet	Weste
le souci	Traurigkeit; Ringelblume; Angst, Unruhe; Besorgnis, Sorge
faire cadeau	schenken, beschenken, stiften, verehren, verschenken
réprimer	bremsen; zügeln; zurückhalten; erpressen, unterdrücken
préméditer	planen, vorher überlegen
la presse	Gedränge; Zeitungslandschaft, Presse
le garçon	Junggeselle; Kellner; Junge, Knabe
la pâture	Viehfutter, Tierfutter; Ernährung, Futter, Nahrungsmittel; Weide, Wiese
croître, s'accroître	gedeihen, wachsen, anwachsen
avarie	Beschädigung (während des Transports), Bruch (während des Transports), Havarie, Schaden (während des Transports), Seeschaden, Transportschaden
imposer	anmuten; zwingen; besteuern; anziehen; aufdrängen, aufnötigen, dringen, aufdringen
abhorrer, abominer, avoir en abomination	verabscheuen
accentuer	betonen, besonders betonen, akzentuieren
la Finlande	Finnland
la Jordanie	Jordanien
l'atome (m)	Atom
slave	slawisch
le jour de l'an	Neujahr; Neujahrstag
acquéreur	Käuferin, Kundin; Käufer, Kunde
le calendrier	Kalender
la botte	Stiefel
paralyser	lähmen, lahm legen, paralysieren
herbe	Gras, Kraut
la bicyclette, le vélo, la bécane	Fahrrad, Rad
la concordance	Akkord, Abkommen, Einklang, Übereinkommen, Übereinstimmung; Kongruenz (von Zahlen); Verantwortung; Übereinkunft
tendre	delikat, fein, zart; einschmeichelnd; weich; aufziehen, spannen, anspannen, ausspannen, straffen
l'abattement (m)	Apathie, Teilnahmslosigkeit; Abnahme; Strapaze; Flauheit; Melancholie, Schwermut, Tiefsinn, Trübsinn, Wehmut
la communion	Kommunion
le réveil, le réveil-matin	Wecker
le vinaigre	Essig
l'échelle (f)	Leiter; Maßstab, Skala
certes	allerdings, freilich, immerhin, ja, ja doch, wohl, zwar
instruire	üben, einüben; lehren, belehren, unterrichten, unterweisen
l'adresse (f)	Adresse; Geschicklichkeit, Gewandtheit
le trafic	Verkehr
hélice (f)	Schneckenlinie, Schraube
tromper	ehebrechen; beirren, irreführen; den Ehemann betrügen; betrügen, hintergehen, täuschen
aplati	flach, platt
fabriquer	anfertigen, fabrizieren, herstellen, verfertigen; leiten, machen, tun, zurücklegen
le Pakistan	Pakistan
potable	genießbar
l'orthographe (f)	Ortographie, Rechtschreibung
la batterie	Batterie; Monozelle
disperser	entzweien, scheiden; zerstreuen, verstreuen; streuen
sombre	düster; dunkel, trübe; finster; wehmütig
débattre	agitieren; erörtern, debattieren; diskutieren, verhandeln
le gaz	Gas
le dialecte	Dialekt, Mundart
le marbre	Marmor
passionnant, captivant	aufregend, spannend
recommandable	empfehlenswert, ratsam
amusant	lustig, unterhaltsam, amüsant
le maillot de corps	Unterhemd
résister	widerstehen
enchanter	bezaubern, entzücken, verzücken
la chimie	Chemie
arabe, arabique	arabisch
chuchoter	flüstern
le mendiant	Bettler
la strophe	Strophe
les abords	Umgebung
la dispute	Disput, Streit, Wortwechsel, Zank
afficher	plakatieren, aushängen, anschlagen
assureur	Versicherer
le Colomb	Kolumbus
personnel	persönlich; eigen
l'attente (f)	Erwartung
local	lokal, örtlich; regional
réel	real, wirklich; authentisch, echt, recht, urkundlich, wahr, wahrhaft
mortel, meurtrier	tödlich
compliquer	komplizieren, verwickelt machen
la terreur	Schreckensherrschaft, Terror; Entzetzen, Grauen, Schreck, Schrecken
la menace	Bedrohung, Drohung
implorer	beschwören, flehen
naître	entstehen
l'autoroute (f)	Autobahn
la mandarine	Mandarine
le prospectus	Prospekt
l'accusé (m)	Angeklagter
aérogramme	Luftpostbrief
la patrie	Vaterland
irakien	irakisch
dans l'intervalle	einstweilen, indes, inzwischen, unterdessen
abandonner	abtreten, nachgeben, weichen; entäußern, fortlassen, überlassen, unterlassen; entsagen, verzichten
spontané	spontan
la réclame, la publicité	Reklame
fusiller	erschießen
grâce à	dank
l'élan (m)	Elch
liste, liste de présentation, liste de candidats, proposition	Kandidatenliste
la variété	Abwechslung; Varieté, Varietéprogramm
poursuivre	anfeuern, jagen, treiben, vor sich hertreiben; fahnden, verfolgen
la virgule	Komma
gris	angeheitert; grau
éventuel	eventuell
s'apercevoir de	wahrnehmen, bemerken
apoplexie	Schlag(anfall), Schlagfluß
austral	südlich
la veste, le veston	Jacke, Jackett, Sakko
la grand-maman	Oma
mâcher	kauen
la librairie	Buchhandlung
apercevable	bemerkbar
la truie, le coche	Sau
comparer	vergleichen
néerlandais	holländisch, niederländisch
anticipation	Vorwegnahme, Erwartung
la correspondance	Kongruenz (von Zahlen); Verantwortung
le désastre	Katastrophe; Ruin
le baquet	Bottich, Wanne; Behälter, Besteck, Krug
la pâtisserie	Gebäck; Backstube
le chœur	Chor, Sängerchor
le Cameroun	Kamerun
rétorquer	zurückschlagen
abondamment	im Überfluss, reichlich; ausführlich, eingehend
érotique	erotisch
l'adultère (m)	Ehebruch
la cathédrale	Dom, Kathedrale, Münster
annuellement	alljährlich
le troupeau	Herde
l'argument (m)	Argument, Beweis
redouter	befürchten, sich ängstigen, zagen; abschrecken, ängstigen, einschüchtern, verscheuchen
total	ganz, total
alléchant, attrayant, attirant, affriolant, attachant	anziehend, attraktiv
se fier	sich verlassen auf, vertrauen
miniscule	winzig
analyse	Analyse, Untersuchung
le parachute	Fallschirm
l'assurance	Versicherung; Bestimmtheit, Gewissheit, Sicherheit, Zuversicht
l'abeille (f)	Biene
la diète	Diät
se	einander, reziprok, wechselseitig
l'astronaute (m)	Astronaut, Weltraumfahrer
la côte	Abhang, Halde, Steilung; Küste; Rippe
l'Argentine (f)	Argentinien
la recommandation	Ermahnung, Zuspruch; Warnung; Registrierung, Aufzeichnung; Empfehlung
naturel	angeboren; natürlich
anonyme	anonym, ungenannt
regarder un spectacle, assister à, être spectateur de	zuschauen
deviner	enträtseln, raten, erraten
le Serbe	Serbe
dessiner	zeichnen, abzeichnen
réjouir	erfreuen
vide	leer; unvermögend
la louange	Lob
le coffre	Kasten, Kiste, Truhe; Koffer
se coucher	sich legen, sich hinlegen; nach unten gehen, heruntergehen, hinuntergehen, untergehen
l'abattage (m)	Gemetzel; Mut
la fourrure	Balg, Fell, Tierhaut, Pelz
contrôleur	Aufseher, Führer, Kondukteur, Schaffner
les Alpes	Alpen
apathique	teilnahmslos, apathisch
le destinataire	Adressat, Empfänger
le parquet	Parkett
la plainte	Anklage, Beschuldigung; Anzeige; Beschwerde, Klage; Jammer
abaisser	in Misskredit bringen; demütigen, erniedrigen; senken; umbringen, verderben; reduzieren; streichen
la colombe	Taube
le radio	Radio; Strahlen, Radius, Strahl, Halbgerade, Radioapparat, Radiogerät, Rundfunkempfänger, Rundfunkgerät
l'ampleur (f)	Ausdehnung, Bereich, Dimension, Fassung, Gehalt, Umfang; Breite
veiller	wachen
la bourse d'études	Stipendium
acclamer	zujubeln, Beifall spenden
le partisan, l'adhérent (m)	Anhänger
la babiole, la bagatelle	Bagatelle, Kleinigkeit
le triangle	Dreieck
amplification	Verstärkung
littéralement, à proprement parler	wörtlich
la perfection	Vollendung, Vollkommenheit
le tronc	Stamm, Baumstamm, Strunk
aspirer	erstreben, sich bewerben um, trachten nach; sich ersehnen, sich sehnen
illustrer	illustrieren
la répersussion	Folge, Konsequenz
la Turquie	Türkei, die Türkei
s'aboucher avec	Verbindung haben mit, Kontakt haben mit, berühren
la gomme	Gummi; Radiergummi
anorak	Anorak
le printemps	Frühjahr, Frühling, Lenz
la capote, le paletot, le pardessus	Mantel, Überrock, Überzieher
la disposition	Einrichtung, Zusammenstellung; Neigung, Veranlagung, Disposition
la recette	Einnahme, Erlös, Ertrag; Verfahren; Rezept
l'oxygène (m)	Sauerstoff
l'adieu (m)	Abschied
la défense	Abwehr; Verbot
analyser	analysieren, auflösen, zergliedern
l'acquisition (f)	Erwerb; Errungenschaft, Neuerwerbung, Neuanschaffung; Beute
la vision	Gesicht, Sehen; Erscheinung, Vision
le banquet	Bankett, Festessen
prudent	gescheit, klug, vernünftig, verständig; bedächtig, behutsam, besonnen, vorsichtig
l'adoration (f)	Anbetung; Verehrung
la voyelle	Vokal
primevère à feuilles entières	Ganzblättrige Schlüsselblume
Strasbourg	Straßburg
l'ammoniaque (f)	Ammoniak
afghan	afghanisch
le potiron	Kürbis
la Diane	Diana
La Haye	Haag
gigantesque, énorme	riesig, gigantisch
alchimiste	Alchimist, Alchemist
se déchaîner	sich erregen; stürmen, toben
coïter	koitieren, den Beischlaf vollziehen
le Mongol	Mongole
le lithium	Lithium
savoureux	delikat; köstlich, schmackhaft
déléguer	abordnen, delegieren
l'accélérateur (m), la pédale d'accélération	Gaspedal, Beschleuniger
la routine	Routine
le crapaud	Kröte
l'azalée (f)	Azalee
balancer	balancieren, schaukeln
le syndicat	Syndikat
sauge visqueuse	Klebrige Salbei
l'Afghan (m)	Afghane
anticorps	Antikörper
atavisme	Ahnenähnlichkeit, Atavismus
l'ancolie (f)	Akelei
habileté (f)	Geschicklichkeit, Gewandtheit
aérodynamique	Aerodynamik
la transmission	Abgabe
hectomètre (m)	Hektometer
assyrien	assyrisch
l'intonation (f)	Intonation
les lombes, les reins	Lende
s'apitoyer, avoir pitié, compatir, plaindre	bemitleiden, Mitleid haben, sich erbarmen
l'ascétisme (m), l'ascèse (f)	Askese
passé	vorig; welk
l'agrafe (f)	Spange
achopper	stolpern, straucheln
se rendre compte	wahrnehmen, bemerken; gewahr werden, inne werden
confondre	in Unordnung bringen, in Verwirrung bringen, verwirren
le sanglot	Schluchzen
l'Ukraine (f)	Ukraine, die Ukraine
qualifier	qualifizieren
l'adjoint (m)	Dienstgehilfe; Assistent
l'Annonciation (f)	Mariä Verkündigung
Belfort	Beffert
la marée	Ebbe und Flut
s'évanouir	das Bewusstsein verlieren, bewusstlos werden, besinnungslos werden, die Besinnung verlieren; in Ohnmacht fallen, ohnmächtig werden
charmant	allerliebst, anmutig, hold, lieblich, reizend
l'Alsace (f)	Elsass
le Népalais	Nepalese
l'omoplate (f)	Schulterblatt
faire son nid, nicher	nisten
projeter une image	projizieren
le poteau	Pfeiler, Pfosten
aqueduc	Aquädukt
l'aviation (f)	Fliegen, Aviatik
la fête-Dieux	Fronleichnam
le recensement	Inventar
armoise	Beifuß
Sainte-Marie-aux-Mines	Markirch
prévisible	absehbar
More, Maure	Maure, Mohr
l'absurdité (f)	Verdrehtheit
le monument	Denkmal, Monument
campanule	Glockenblume
déterminer	zur Entscheidung bringen, eine Entscheidung fordern, einer Entscheidung zuführen; determinieren; antun, bewirken, veranlassen, verursachen, zufügen
arithméthique	arithmetisch
l'arbre de transmission (m)	Antriebswelle
la modiste	Modistin
filler la laine	spinnen
la marraine	Patin
surmonter	bewältigen, überflügeln, übersteigen, überragen, übertreffen; besiegen, überwinden
le piquant	Stachel
apocope	Apokope
la réalité	Realität, Wirklichkeit; Real
mouvoir	bewegen, erregen
la modestie	Demut; Bescheidenheit
la galoche	Galosche, Überschuh
replier	stülpen
arpège	Arpeggio
Wissembourg	Weißenburg
le volume	Fassungsvermögen, Inhalt (Volumen); Volumen
chagriner	ärgern, bekümmern, betrüben, kränken, Kummer bereiten, verdrießen
faire fondre	gießen, schmelzen
la position	Position
le remplaçant	Stellvertreter
la menthe	Minze
imposant	imposant; erhaben, majestätisch
le Sémite	Semit
houx (m)	Stechpalme
la moelle osseuse, la moelle	Mark
le répandre	Verteilung, Verbreitung
offrir	schenken, beschenken, stiften, verehren, verschenken; erbieten, opfern; offerieren, anbieten; aufführen, bieten, darstellen, vorstellen, präsentieren
l'orgueil (m)	Dünkel, Hochmut, Hochnäsigkeit, Überheblichkeit
le chêne	Eiche
le laurier	Lorbeer, Lorbeerbaum
persan	persisch
sage	gescheit, klug, vernünftig, verständig; weise
le chrysanthème	Chrysantheme
la rhubarbe	Rhabarber
le grade	Grad, Staffel, Stufe; Amtswürde, Rang, Stand, Würde
suave	süß; honigsüß, aus Honig; mild
sainfoin	Süßklee
la Copenhague	Kopenhagen
la lettre de créance	Beglaubigung
le suffixe	Suffix
l'arbitre (m)	Schiedsrichter
faire un bruit de succion, faire du bruit avec les lèvres	schmatzen
moisi	dumpfig
agacement	Entrüstung
le sou	Sold
la champagne	Champagner
gentiane à feuilles d'asclépiade	Schwalbenwurz-Enzian
le varech, le goémon	Tang
potentille caulescente	Stengel-Fingerkraut
claquer	klacken, klappen, schnalzen
charpenter	zimmern
le serment	Eid
agile	behende, gewandt
ébouriffé, hirsute	struppig
le Bouddha	Buddha
rejeter	fortwerfen, wegwerfen; ausmerzen; widerlegen; zurücksenden; ablehnen, abschlagen, ausschlagen, versagen, weigern, verweigern; sich erbrechen, sich übergeben
limbourgeois	limburgisch
Ingeldorf	Ingeldorf
raiponce	Teufelskralle
équivalent	gleichwertig
l'empressement (m), l'accélération (f), l'accéleration (f), la précipitation	Beschleunigung
hameçon (m)	Angelhaken
chaste, continent	keusch, züchtig
le Malaisien	Malaysier
attentif	aufmerksam; achtsam, bedächtig
raisonnable	angemessen, geeignet, zeitgemäß; gescheit, klug, vernünftig, verständig; weise
la villa	Villa
suffisant	auskömmlich, genügend, ziemlich, zulänglich
le muguet	Maiblümchen
l'abaque (m)	Abakus, Kugelmaschine, Rechenmaschine; Rechenbrett
le Surinam	Suriname
rattraper	wieder einfangen, zurückgewinnen
la boue, la vase	Dreck, Kot, Schlamm, Schmutz
la division	Zerlegung (einer Menge); Teilung
raccourcir	abkürzen, verkürzen
le Saturne	Saturn
la prothèse	Prothese
sénégalais	senegalesisch
apprivoisé	zahm
la semailles	Aussaat
anecdotique	anekdotisch, anekdotenhaft
honnête	anständig, bieder, ehrlich, rechtschaffen; loyal
grouper	zusammentragen, ansammeln; gruppieren
la Venise	Venedig
la fraction	Fraktion
la colonne vertébrale	Rückgrat
le pélican	Pelikan
daphné	Seidelbast
avancer	vorrücken, vorwärtsgehen, vorwärtsschreiten; vorankommen; fortschreiten, Fortschritt machen, vorschreiten
l'asbeste (m)	Asbest
la Gênes	Genua
la lymphe	Lymphe
conter fleurette, flirter, voltiger	flirten, herumflattern, liebeln, tändeln
infecter	anstecken, infizieren
Thann	Thann
prostituer	huren, prostituieren
actinie	Actinium
apostat	Abtrünniger, Renegat [pol.], Abgefallener
la potasse	Pottasche
Silésie	Silesien
les pinces	Griff, Henkel, Zange
la discipline	Disziplin
tanzanien	tansanisch
la figue	Feige
le sénat	Senat
identifier	auszeichnen, hervorheben, unterscheiden; identifizieren
le bandit	Bandit, Räuber
accent	Diakritikum, Überzeichen
le débat	Debatte, Erörterung, Wortstreit
le cadeau	Geschenk, Spende, Vermächtnis
-al	-haft
entraîner hors du droit chemin	verführen, verlocken; umleiten
hectolitre (m)	Hektoliter
athée	atheistisch
la raison	Rationalität
absurde	abgeschmackt, absurd, ungereimt, widersinnig
comique	drollig, komisch, spaßhaft
hydraulique (f)	Hydraulik
le Sagittaire	Schütze
arabesque	Arabeske
la fraise	Erdbeere
la carpe	Karpfen
le vautour	Geier
la punaise	Wanze
antipathique, contradictoire, désagréable	widerwärtig
le cosmos	Kosmos
le rectum	Enddarm, Mastdarm, Rectum
déchaîner	entfesseln
broder	sticken
ci-joint	anbei
le cyprès	Zypresse
arthrite	Gelenkentzündung, Arthritis, Gicht
archimandrite	Archimandrit
hiérarchie (f)	Hierarchie
communier	an der (Heiligen) Kommunion teilnehmen, das Abendmahl feiern
le lin	Flachs, Lein, Leinpflanze
apogée	Gipfel, Höhepunkt, Erdferne, Apogäum
l'ado (m/f)	Jüngling
le Luxembourg	Luxemburg
pédiculaire feuillée	Reichblättriges Läusekraut
cycle	Zeitkreis, Zyklus
râper	raspeln
la saisie	Beschlagnahme
la sandale	Sandale
l'aumônier (m)	Feldgeistlicher
la framboise	Himbeere
la Meuse	Maas
le Macédonien	Mazedonier
l'ivoire (m)	Elfenbein
surinamien	surinamisch
la mer Egée	Ägäische Meer
la pâquerette	Gänseblümchen, kleines Maßlieb, Marienblume
le xylophone	Xylophon
la renoncule	Ranunkel, Hahnenfuß
l'abandon (m)	Verzicht, Ausstieg, Abtretung; Resignation; Entsagung; Einsamkeit
le changement d'adresse	Adressänderung
la taille	Ausdehnung, Bereich, Dimension, Fassung, Gehalt, Umfang; Maß; Gestalt, Statur; Taille
mystique	mystisch
homme d'affaires	Geschäftsmann
agir selon	befolgen
la jetée	Hafendamm, Mole
le pilier, la colonne	Kolumne, Säule, Spalte
Bâle, la Bâle	Basel
la rapsodie	Rhapsodie
l'autodidacte (m/f)	Autodidakt, Selbstlerner
l'Arménie (f)	Armenien
Messancy	Metzig
la magistrature	Jury
la fontaine	Brunnen, Fontäne, Springbrunnen; Quelle
la charrue	Pflug
abréger	abkürzen, verkürzen; summieren, zusammenfassen
coquet	gefallsüchtig, kokett
le marquis	Marquis
le cobaye, le cochon d'Inde	Meerschweinchen
le statut	Statut, Satzung
tricoter	stricken
le véronique	Ehrenpreis
le tribut	Tribut
l'adorateur (m)	Verehrer
aventurer	sich erkühnen, unerschrocken sein, wagemutig sein, wagen, riskieren, kühn sein, sich erdreisten
le Caucase	Kaukasus
le grand tétras	Auerhahn
le cormoran	Scharbe, Kormoran
mûrir	reifen
badauder, bayer aux corneilles, béer	anglotzen
bulgare	bulgarisch
le chlore	Chlor
l'annuaire (m)	Adressbuch; Almanach
serrer	verdichten; einschließen; beklemmen, drücken, bedrücken, pressen, zwängen; aufziehen, spannen, anspannen, ausspannen, straffen
sonder	sondieren
la bactérie	Bakterie
anthracite	Anthrazit
oxytropide champêtre	Gemeine Fahnenwicke
le Viennois	Wiener
astrophysique	Astrophysik
le narcisse	Narzisse
archétype	Urbild, Urform, Archetyp
le Nigérien	Nigrer
le prophète	Prophet
l'oranger (m)	Orangenbaum
alléluia	halleluja
le territoire	Gebiet, Gelände, Territorium
s'abêtir	sich betäuben, sich abstumpfen
la portion, le contingent, la ration	Anteil, Portion, Ration
l'embouchure (f)	Mund, Mündung
le chou-fleur	Blumenkohl
soldanelle	Troddelblume
la pointe	Spitze, Stift, Zacke, Zinke, Zipfel
le prestige	Prestige, Ansehen, Geltung
le ventre	Bauch, Unterleib
attribuer	anweisen, überweisen; beimessen, zuschreiben
la sorcière	Hexe
l'amande (f)	Mandel
élever	aufziehen, züchten; heben, aufheben, erheben, zücken
le préparatif	Vorsorge; Vorbereitung
le champignon	Champignon
le clin d'œil	Augenwink, Wink
la licence	Erlaubnis, Gewerbeschein, Lizenz
soldanelle des Alpes	Alpen-Troddelblume
grelotter	frösteln
la biche	Hirschkuh, Hindin
l'eau-de-vie (f)	Branntwein, Schnaps
sécher	dörren, trocknen, austrocknen; verdorren
l'aristo (m/f), l'aristocrate (m/f)	Aristokrat, Edelmann
le fouet	Gerte, Peitsche
prétexter, se retrancher	angeben, vorgeben, vorschützen
le Niger	Niger
l'entrepôt (m)	Stapel
le démocrate	Demokrat
le palladium	Palladium
l'autour (m)	Habicht
la mûre sauvage	Brombeere
anthrax	Milzbrand
la lagune	Lagune
filtrer	filtrieren
réfléchir	bedenken, erwägen, sich überlegen; reflektieren, rückstrahlen; widerspiegeln, spiegeln
gémir	ächzen, jammern, seufzen, stöhnen, wehklagen, wimmern
enclin	geneigt zu
charger	beauftragen, betrauen; laden
dominicain	dominikanisch; dominicanisch
la fourniture	Versorgung
le Goth	Gote
la peau	Balg, Fell, Tierhaut, Pelz; Haut
proclamer	ausrufen, proklamieren
adorable	anbetenswert, himmlisch, entzückend
le Costa Rica	Costa Rica
réduire	reduzieren
Bullange	Büllingen
la préparation	Vorbereitung
la réflexion	Bemerkung, Beobachtung, Vermerk
l'ascète (m)	Asket
l'apparition (f)	Erscheinung; Geist, Gespenst, Phantom, Spuk
la couche de bébé	Windel
jordanien	jordanisch
la reine-marguerite	China-Aster
simple	einfach, einfältig
l'avenue (f)	Prachtstraße, Allee, Avenue
la propreté	Reinheit, Reinlichkeit, Sauberkeit
l'alcool dénaturé (m)	Brennspiritus
la clameur	Geheul
hormin des Pyrénées	Alpen-Drachenmaul
briller	blinken, glänzen, scheinen, schimmern, strahlen
le bâtard	unehelich, Bastard...; Bastard, Mischling
gentiane de Bavière	Bayerischer Enzian
le Tchad	Tschad
l'Adonis (m)	Adonis
virer	anweisen, überweisen, indossieren
l'Olympe (m)	Olymp
glissant comme une anguille	aalglatt
la sueur	Schweiß
le mammouth	Mammut
le bout	Ende; Spitze, Stift, Zacke, Zinke, Zipfel
le pylône	Pylon
l'impérialisme (m)	Imperialismus, Kaiserherrschaft
velu, poilu	gezottelt, haarig, Zottel-, zottig
la Crète	Kreta
l'abondance (f)	Übermaß, Fülle; Überfluss
hypoténuse (f)	Hypotenuse
le tilleul	Linde, Lindenbaum
l'if (m)	Eibe, Taxus
l'attachement (m)	Anhänglichkeit
aniline	Anilin
la valve	Ventil
l'aversion (f), le dégoût, la répulsion	Abscheu, Greuel
le Breton	Bretone
le bouvreuil	Dompfaff, Gimpel
centraliser	zentralisieren
vrai	im Recht; authentisch, echt, recht, urkundlich, wahr, wahrhaft
matériel	materiell
le potassium	Kalium
glorifier	loben, preisen, rühmen, verherrlichen
reconnaissant	dankbar, erkenntlich
gentiane pourprée	Purpur-Enzian
le lilas	Flieder
le Bantou	Bantu
infirme	abgelebt, baufällig, gebrechlich, hinfällig; verkrüppelt
le dialogue	Dialog, Zwiegespräch
le phoque	Seehund
saxifrage à feuilles rondes, herbe aux cent coutures	Rundblättriger Steinbrech
avouer	anerkennen, beichten, gestehen, eingestehen
la charlatanerie	Humbug
le zinc	Zink
l'auge (f)	Mulde, Trog
réserver	reservieren, vorbehalten, zurückbehalten
haleine (f), la respiration	Atmen, Atmung; Atem, Hauch
la remise	Nachlass, Rabatt, Vergünstigung, Vergütung; Remise, Garage; Abgabe
nigérian	nigerianisch
coréen	koreanisch
abricotier de Mandchourie	Mandschurischer Aprikosenbaum
le tampon, pare-chocs	Stoßstange, Puffer, Prellbock
la lettre recommandée	Einschreibebrief
affaiblir	erschlaffen
Sarrebourg	Saarburg
tailler	schleifen; hacken, hauen; zuschneiden; schneiden; meißeln, ziselieren
fruitier	ergiebig
bohémien	böhmisch
la rayure	Strich; Streifen
la cellule	Zelle
le Damas	Damaskus
héroïque	heroisch
le cimetière	Friedhof, Gottesacker, Kirchhof
Addis-Abeba	Addis-Abeba
hennir	wiehern
pousser à	anspornen, antreiben, aufhetzen, herausfordern
convenir	kongruieren; behagen, fügen, ziemen, geziemen; taugen
Baléares	die Balearen
alsacien	elsässisch
subir	erleben; aushalten, dulden, erdulden, ertragen, leiden, erleiden; zurücklegen
la ver luisant	Leuchtkäfer
le costume, le complet	Anzug, Gewand, Kostüm, Tracht
arrière-nièce	Großnichte
l'actif (m)	Aktiv, Tätigkeitsform, Haben, Forderungen, Aktiva, Einlagen
le Sri Lanka	Sri Lanka
la pleine lune	Vollmond
le bannissement	Exil, Verbannung
abbatial	Abtei-, Abts-
studieux	gelehrig
convertir	bekehren, umstimmen
l'accumulation (f)	Ansammlung; Anhäufung; Versammlung
le bandeau	Binde, Streifen
l'adrénaline (f)	Adrenalin
le préjudice	Schaden, Sachschaden; Verderbnis; Verlust
l'enchaînement (m), la succession	Aneinanderreihung, Reihenfolge, Verkettung
l'empereur (m)	Imperator, Kaiser
la monarchie	Monarchie
le coq de bruyère, le tétras	Birkhahn
l'Indien (m)	Inder; Indianer
aztèque	aztekisch
faire paître	weiden
fortune	Fortuna, Gunst des Schicksals, Glück
noircir	anschwärzen
avoir une dette	schulden, schuldig sein
l'amplificateur (m)	Verstärker
le dommage	Schaden, Sachschaden
angélique	Engelwurz; engelhaft
le troène	Liguster
fouetter, flageller	geißeln, stäupen
la langue russe	Russisch, russische Sprache
l'Indonésien (m)	Indonesier
le marché	Basar, Markt, Warenhaus; Marktplatz
véritable	authentisch, echt, recht, urkundlich, wahr, wahrhaft
acquérir	erbeuten, erlangen, erringen, habhaft werden, sich erwerben; kaufen, sich kaufen, einkaufen
fixer	bestimmen, definieren; befestigen, festsetzen, fixieren
armer	waffnen, bewaffnen, rüsten
la Moselle	Mosel
barbue	Raute, Rhombus
l'estime (f)	Achtung, Verehrung
alpaga	Alpaka
les hémorrhoïdes	Hämorrhoiden
athlétique	athletisch
la Volga	Wolga
soumettre	bezwingen, überwältigen, unterwerfen
cerise douce	Vogelkirsche, Süßkirsche
la Sardaigne	Sardinien
anal	anal
directement	aufrecht, direkt, gerade, geradeaus, geradeswegs, geradezu; geradewegs, unmittelbar; gleich, sogleich
finlandais, finnois	finnländisch
les îles Canaries	Kanarische Inseln
la route aérienne	Luftweg
